"gdp","population","dem_status"
81779012350.8833,31847900,"NF"
804332795.575017,278330,"F"
NA,29846179,"NF"
205276172134.901,93638724,"NF"
15405400000,4367088,"NF"
NA,NA,"NF"
30935978723.73,27168210,"NF"
20954754378.1394,16363507,"PF"
20548678100,14030390,"PF"
19907111418.9938,34413603,"NF"
11386846319.1589,2880703,"PF"
166361491140.753,39728025,"NF"
2789870187.50693,78011,"F"
116193649124.151,27884381,"NF"
1336692592.59259,93566,"F"
594749285413.212,43131966,"F"
10553337672.9872,2925553,"PF"
1351693984524.5,23815995,"F"
381817565893.574,8642699,"F"
53074370486.0433,9649341,"NF"
11710800000,374206,"F"
31050638297.8723,1371851,"NF"
195078678697.23,156256276,"PF"
4.715e+09,285324,"F"
56454734396.5842,9489616,"NF"
462149679343.822,11274196,"F"
1723800000,360933,"F"
11388160958.249,10575952,"F"
2003598212.99135,727876,"PF"
33000198248.3362,10869730,"PF"
16211541820.2438,3429361,"PF"
14420593484.0557,2120716,"F"
1802214373741.32,204471769,"F"
12930394937.8137,414907,"NF"
50647442756.7445,7177991,"F"
11832159275.603,18110624,"PF"
3104394858.11518,10160030,"NF"
1596800287.16405,524743,"F"
18049954289.4229,15521436,"NF"
30928653813.8538,23298368,"NF"
1556129524418.21,35702908,"F"
1695825708.45604,4493170,"NF"
10950392219.9104,14110975,"NF"
243919085308.936,17969353,"F"
11061553079876.4,1371220000,"NF"
293481748240.779,47520667,"PF"
966029542.038859,777424,"PF"
11953249529.737,4856095,"NF"
37917704900.0794,76244544,"NF"
54775994478.5095,4847804,"F"
45814637971.4745,23226143,"PF"
49525747503.8149,4203604,"F"
8.7133e+10,11324781,"NF"
19842404304.8929,1160985,"F"
188033050459.881,10546059,"F"
302673070846.857,5683483,"F"
2430287967.02678,913993,"NF"
540737037.037037,71183,"F"
71164825257.7372,10281680,"PF"
99290381000,16212020,"PF"
329366576819.407,92442547,"NF"
23438240000,6325124,"F"
13185496836.4124,1168568,"NF"
NA,NA,"NF"
23048864242.6072,1315407,"F"
4062660889.82685,1104044,"NF"
64589334978.8013,100835458,"NF"
4682546881.15833,868627,"PF"
234440080998.273,5479531,"F"
2438207896251.84,66548272,"F"
14383107714.0388,1947686,"NF"
13972400000,4270092,"NF"
14953950557.4406,3725276,"PF"
3356235704119.75,81686611,"F"
48564863888.4402,27849205,"F"
196591353872.132,10820883,"F"
997007925.925926,109599,"F"
62186186575.7433,15567419,"PF"
8794202443.67366,11432088,"PF"
1048229629.42039,1737202,"PF"
4279840361.74334,767432,"F"
14857386163.9184,10695542,"PF"
20979767785.2104,9112916,"PF"
309383627028.561,7291300,"PF"
125074286021.14,9843028,"F"
17389101639.0017,330815,"F"
2103587817041.78,1310152403,"F"
2103587817041.78,1310152403,"PF"
860854235065.079,258383256,"PF"
384951479697.42,78492215,"NF"
177498577312.923,35572261,"NF"
291499812214.551,4701957,"F"
299813121135.458,8380100,"F"
1835899237320.04,60730582,"F"
14187696311.3556,2891021,"F"
4389475622588.97,127141000,"F"
38587017944.3352,9266575,"NF"
